pod,__name__
orders-b54f99dcf-99n5f,cluster:namespace:pod_memory:active:kube_pod_container_resource_limits
orders-b54f99dcf-f6t87,cluster:namespace:pod_memory:active:kube_pod_container_resource_limits
orders-b54f99dcf-r9v6c,cluster:namespace:pod_memory:active:kube_pod_container_resource_limits
orders-b54f99dcf-np2bn,cluster:namespace:pod_memory:active:kube_pod_container_resource_limits
orders-b54f99dcf-p8f24,cluster:namespace:pod_memory:active:kube_pod_container_resource_limits
payment-bf57b494f-2zdfk,cluster:namespace:pod_memory:active:kube_pod_container_resource_limits
queue-master-5c568f48f4-kdk26,cluster:namespace:pod_memory:active:kube_pod_container_resource_limits
shipping-76b9956679-jsgdh,cluster:namespace:pod_memory:active:kube_pod_container_resource_limits
user-b8c4c9799-4d2vq,cluster:namespace:pod_memory:active:kube_pod_container_resource_limits
user-b8c4c9799-p6m9h,cluster:namespace:pod_memory:active:kube_pod_container_resource_limits
carts-77c79d8f5c-kc9vd,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
catalogue-5847ff7b9d-8gz2w,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-2dcgp,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-4bzjw,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-4r59v,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-4tnwd,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-5lrjq,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-9h2hm,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-cfkwb,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-cz8js,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-dtl78,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-h6qvz,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-jhbqt,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-lbf7z,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-ldc2x,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-njk4n,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-p8shn,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-rtrkt,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-4bddm,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-4vpzf,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-4vtjl,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-4zrg7,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-57x95,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-5hrw2,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-fwbs2,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-hxml2,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-jxwtv,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-k5g9d,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-kmv47,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-pfkqg,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-q6nkp,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-qn5dw,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-qqzdw,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-rgdkz,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-rlg2v,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-rwglf,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-sfflv,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-tfs4h,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-vs62v,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-xpvr8,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-zpznn,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-2n9fd,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-4xsk5,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-6gwpb,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-6rwqz,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-6s9j5,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-6wvcp,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-7d4cp,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-7q9vp,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-bd7zg,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-bqs94,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-dchc2,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-fx76p,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-k7wsd,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-ljlsq,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-nl9mb,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-nv7pt,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-p2snw,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-pm6f7,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-pxn99,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-s6s49,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-tcsxq,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-w86x5,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-wmvr6,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-wxcxc,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
front-end-84bbdf87f9-zt6sc,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
orders-b54f99dcf-648c4,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
orders-b54f99dcf-99n5f,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
orders-b54f99dcf-f6t87,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
orders-b54f99dcf-r9v6c,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
orders-b54f99dcf-np2bn,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
orders-b54f99dcf-p8f24,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
payment-bf57b494f-2zdfk,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
queue-master-5c568f48f4-kdk26,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
shipping-76b9956679-jsgdh,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
user-b8c4c9799-4d2vq,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
user-b8c4c9799-p6m9h,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests
user-db-59bc4d8969-gp8f5,container_blkio_device_usage_total
user-db-59bc4d8969-gp8f5,container_blkio_device_usage_total
catalogue-db-554b5765cf-jglzx,container_blkio_device_usage_total
catalogue-db-554b5765cf-jglzx,container_blkio_device_usage_total
rabbitmq-c9c9d6567-kqfw5,container_blkio_device_usage_total
rabbitmq-c9c9d6567-kqfw5,container_blkio_device_usage_total
orders-db-bcc65d8b7-v2txw,container_blkio_device_usage_total
orders-db-bcc65d8b7-v2txw,container_blkio_device_usage_total
session-db-77fb5f98fc-rh8n7,container_blkio_device_usage_total
session-db-77fb5f98fc-rh8n7,container_blkio_device_usage_total
carts-db-6fd968dd8c-mhq77,container_blkio_device_usage_total
carts-db-6fd968dd8c-mhq77,container_blkio_device_usage_total
front-end-84bbdf87f9-9h2hm,container_blkio_device_usage_total
front-end-84bbdf87f9-9h2hm,container_blkio_device_usage_total
payment-bf57b494f-2zdfk,container_blkio_device_usage_total
payment-bf57b494f-2zdfk,container_blkio_device_usage_total
front-end-84bbdf87f9-h6qvz,container_blkio_device_usage_total
front-end-84bbdf87f9-h6qvz,container_blkio_device_usage_total
user-b8c4c9799-4d2vq,container_blkio_device_usage_total
user-b8c4c9799-4d2vq,container_blkio_device_usage_total
user-b8c4c9799-4d2vq,container_blkio_device_usage_total
user-b8c4c9799-4d2vq,container_blkio_device_usage_total
front-end-84bbdf87f9-fwbs2,container_blkio_device_usage_total
front-end-84bbdf87f9-fwbs2,container_blkio_device_usage_total
front-end-84bbdf87f9-fwbs2,container_blkio_device_usage_total
front-end-84bbdf87f9-fwbs2,container_blkio_device_usage_total
carts-77c79d8f5c-kc9vd,container_blkio_device_usage_total
carts-77c79d8f5c-kc9vd,container_blkio_device_usage_total
front-end-84bbdf87f9-ldc2x,container_blkio_device_usage_total
front-end-84bbdf87f9-ldc2x,container_blkio_device_usage_total
front-end-84bbdf87f9-6gwpb,container_blkio_device_usage_total
front-end-84bbdf87f9-6gwpb,container_blkio_device_usage_total
front-end-84bbdf87f9-nv7pt,container_blkio_device_usage_total
front-end-84bbdf87f9-nv7pt,container_blkio_device_usage_total
orders-b54f99dcf-r9v6c,container_blkio_device_usage_total
orders-b54f99dcf-r9v6c,container_blkio_device_usage_total
front-end-84bbdf87f9-zt6sc,container_blkio_device_usage_total
front-end-84bbdf87f9-zt6sc,container_blkio_device_usage_total
front-end-84bbdf87f9-wmvr6,container_blkio_device_usage_total
front-end-84bbdf87f9-wmvr6,container_blkio_device_usage_total
orders-b54f99dcf-f6t87,container_blkio_device_usage_total
orders-b54f99dcf-f6t87,container_blkio_device_usage_total
front-end-84bbdf87f9-cfkwb,container_blkio_device_usage_total
front-end-84bbdf87f9-cfkwb,container_blkio_device_usage_total
front-end-84bbdf87f9-rtrkt,container_blkio_device_usage_total
front-end-84bbdf87f9-rtrkt,container_blkio_device_usage_total
shipping-76b9956679-jsgdh,container_blkio_device_usage_total
shipping-76b9956679-jsgdh,container_blkio_device_usage_total
queue-master-5c568f48f4-kdk26,container_blkio_device_usage_total
queue-master-5c568f48f4-kdk26,container_blkio_device_usage_total
front-end-84bbdf87f9-7q9vp,container_blkio_device_usage_total
front-end-84bbdf87f9-7q9vp,container_blkio_device_usage_total
front-end-84bbdf87f9-w86x5,container_blkio_device_usage_total
front-end-84bbdf87f9-w86x5,container_blkio_device_usage_total
front-end-84bbdf87f9-w86x5,container_blkio_device_usage_total
front-end-84bbdf87f9-w86x5,container_blkio_device_usage_total
front-end-84bbdf87f9-4bzjw,container_blkio_device_usage_total
front-end-84bbdf87f9-4bzjw,container_blkio_device_usage_total
front-end-84bbdf87f9-kmv47,container_blkio_device_usage_total
front-end-84bbdf87f9-kmv47,container_blkio_device_usage_total
front-end-84bbdf87f9-kmv47,container_blkio_device_usage_total
front-end-84bbdf87f9-kmv47,container_blkio_device_usage_total
front-end-84bbdf87f9-qqzdw,container_blkio_device_usage_total
front-end-84bbdf87f9-qqzdw,container_blkio_device_usage_total
front-end-84bbdf87f9-qqzdw,container_blkio_device_usage_total
front-end-84bbdf87f9-qqzdw,container_blkio_device_usage_total
user-b8c4c9799-p6m9h,container_blkio_device_usage_total
user-b8c4c9799-p6m9h,container_blkio_device_usage_total
front-end-84bbdf87f9-dtl78,container_blkio_device_usage_total
front-end-84bbdf87f9-dtl78,container_blkio_device_usage_total
catalogue-5847ff7b9d-8gz2w,container_blkio_device_usage_total
catalogue-5847ff7b9d-8gz2w,container_blkio_device_usage_total
front-end-84bbdf87f9-pfkqg,container_blkio_device_usage_total
front-end-84bbdf87f9-pfkqg,container_blkio_device_usage_total
front-end-84bbdf87f9-pfkqg,container_blkio_device_usage_total
front-end-84bbdf87f9-pfkqg,container_blkio_device_usage_total
front-end-84bbdf87f9-pm6f7,container_blkio_device_usage_total
front-end-84bbdf87f9-pm6f7,container_blkio_device_usage_total
front-end-84bbdf87f9-4tnwd,container_blkio_device_usage_total
front-end-84bbdf87f9-4tnwd,container_blkio_device_usage_total
front-end-84bbdf87f9-fx76p,container_blkio_device_usage_total
front-end-84bbdf87f9-fx76p,container_blkio_device_usage_total
front-end-84bbdf87f9-lbf7z,container_blkio_device_usage_total
front-end-84bbdf87f9-lbf7z,container_blkio_device_usage_total
front-end-84bbdf87f9-vs62v,container_blkio_device_usage_total
front-end-84bbdf87f9-vs62v,container_blkio_device_usage_total
front-end-84bbdf87f9-vs62v,container_blkio_device_usage_total
front-end-84bbdf87f9-vs62v,container_blkio_device_usage_total
front-end-84bbdf87f9-6rwqz,container_blkio_device_usage_total
front-end-84bbdf87f9-6rwqz,container_blkio_device_usage_total
user-db-59bc4d8969-gp8f5,container_blkio_device_usage_total
user-db-59bc4d8969-gp8f5,container_blkio_device_usage_total
catalogue-db-554b5765cf-jglzx,container_blkio_device_usage_total
catalogue-db-554b5765cf-jglzx,container_blkio_device_usage_total
rabbitmq-c9c9d6567-kqfw5,container_blkio_device_usage_total
rabbitmq-c9c9d6567-kqfw5,container_blkio_device_usage_total
orders-db-bcc65d8b7-v2txw,container_blkio_device_usage_total
orders-db-bcc65d8b7-v2txw,container_blkio_device_usage_total
session-db-77fb5f98fc-rh8n7,container_blkio_device_usage_total
session-db-77fb5f98fc-rh8n7,container_blkio_device_usage_total
carts-db-6fd968dd8c-mhq77,container_blkio_device_usage_total
carts-db-6fd968dd8c-mhq77,container_blkio_device_usage_total
front-end-84bbdf87f9-9h2hm,container_blkio_device_usage_total
front-end-84bbdf87f9-9h2hm,container_blkio_device_usage_total
payment-bf57b494f-2zdfk,container_blkio_device_usage_total
payment-bf57b494f-2zdfk,container_blkio_device_usage_total
front-end-84bbdf87f9-h6qvz,container_blkio_device_usage_total
front-end-84bbdf87f9-h6qvz,container_blkio_device_usage_total
user-b8c4c9799-4d2vq,container_blkio_device_usage_total
user-b8c4c9799-4d2vq,container_blkio_device_usage_total
user-b8c4c9799-4d2vq,container_blkio_device_usage_total
user-b8c4c9799-4d2vq,container_blkio_device_usage_total
front-end-84bbdf87f9-fwbs2,container_blkio_device_usage_total
front-end-84bbdf87f9-fwbs2,container_blkio_device_usage_total
front-end-84bbdf87f9-fwbs2,container_blkio_device_usage_total
front-end-84bbdf87f9-fwbs2,container_blkio_device_usage_total
carts-77c79d8f5c-kc9vd,container_blkio_device_usage_total
carts-77c79d8f5c-kc9vd,container_blkio_device_usage_total
front-end-84bbdf87f9-ldc2x,container_blkio_device_usage_total
front-end-84bbdf87f9-ldc2x,container_blkio_device_usage_total
front-end-84bbdf87f9-6gwpb,container_blkio_device_usage_total
front-end-84bbdf87f9-6gwpb,container_blkio_device_usage_total
front-end-84bbdf87f9-nv7pt,container_blkio_device_usage_total
front-end-84bbdf87f9-nv7pt,container_blkio_device_usage_total
orders-b54f99dcf-r9v6c,container_blkio_device_usage_total
orders-b54f99dcf-r9v6c,container_blkio_device_usage_total
front-end-84bbdf87f9-zt6sc,container_blkio_device_usage_total
front-end-84bbdf87f9-zt6sc,container_blkio_device_usage_total
front-end-84bbdf87f9-wmvr6,container_blkio_device_usage_total
front-end-84bbdf87f9-wmvr6,container_blkio_device_usage_total
orders-b54f99dcf-f6t87,container_blkio_device_usage_total
orders-b54f99dcf-f6t87,container_blkio_device_usage_total
front-end-84bbdf87f9-cfkwb,container_blkio_device_usage_total
front-end-84bbdf87f9-cfkwb,container_blkio_device_usage_total
front-end-84bbdf87f9-rtrkt,container_blkio_device_usage_total
front-end-84bbdf87f9-rtrkt,container_blkio_device_usage_total
shipping-76b9956679-jsgdh,container_blkio_device_usage_total
shipping-76b9956679-jsgdh,container_blkio_device_usage_total
queue-master-5c568f48f4-kdk26,container_blkio_device_usage_total
queue-master-5c568f48f4-kdk26,container_blkio_device_usage_total
front-end-84bbdf87f9-7q9vp,container_blkio_device_usage_total
front-end-84bbdf87f9-7q9vp,container_blkio_device_usage_total
front-end-84bbdf87f9-w86x5,container_blkio_device_usage_total
front-end-84bbdf87f9-w86x5,container_blkio_device_usage_total
front-end-84bbdf87f9-w86x5,container_blkio_device_usage_total
front-end-84bbdf87f9-w86x5,container_blkio_device_usage_total
front-end-84bbdf87f9-4bzjw,container_blkio_device_usage_total
front-end-84bbdf87f9-4bzjw,container_blkio_device_usage_total
front-end-84bbdf87f9-kmv47,container_blkio_device_usage_total
front-end-84bbdf87f9-kmv47,container_blkio_device_usage_total
front-end-84bbdf87f9-kmv47,container_blkio_device_usage_total
front-end-84bbdf87f9-kmv47,container_blkio_device_usage_total
front-end-84bbdf87f9-qqzdw,container_blkio_device_usage_total
front-end-84bbdf87f9-qqzdw,container_blkio_device_usage_total
front-end-84bbdf87f9-qqzdw,container_blkio_device_usage_total
front-end-84bbdf87f9-qqzdw,container_blkio_device_usage_total
user-b8c4c9799-p6m9h,container_blkio_device_usage_total
user-b8c4c9799-p6m9h,container_blkio_device_usage_total
front-end-84bbdf87f9-dtl78,container_blkio_device_usage_total
front-end-84bbdf87f9-dtl78,container_blkio_device_usage_total
catalogue-5847ff7b9d-8gz2w,container_blkio_device_usage_total
catalogue-5847ff7b9d-8gz2w,container_blkio_device_usage_total
front-end-84bbdf87f9-pfkqg,container_blkio_device_usage_total
front-end-84bbdf87f9-pfkqg,container_blkio_device_usage_total
front-end-84bbdf87f9-pfkqg,container_blkio_device_usage_total
front-end-84bbdf87f9-pfkqg,container_blkio_device_usage_total
front-end-84bbdf87f9-pm6f7,container_blkio_device_usage_total
front-end-84bbdf87f9-pm6f7,container_blkio_device_usage_total
front-end-84bbdf87f9-4tnwd,container_blkio_device_usage_total
front-end-84bbdf87f9-4tnwd,container_blkio_device_usage_total
front-end-84bbdf87f9-fx76p,container_blkio_device_usage_total
front-end-84bbdf87f9-fx76p,container_blkio_device_usage_total
front-end-84bbdf87f9-lbf7z,container_blkio_device_usage_total
front-end-84bbdf87f9-lbf7z,container_blkio_device_usage_total
front-end-84bbdf87f9-vs62v,container_blkio_device_usage_total
front-end-84bbdf87f9-vs62v,container_blkio_device_usage_total
front-end-84bbdf87f9-vs62v,container_blkio_device_usage_total
front-end-84bbdf87f9-vs62v,container_blkio_device_usage_total
front-end-84bbdf87f9-6rwqz,container_blkio_device_usage_total
